City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
80,Karatuzskoye,53.6072,92.8667,65.12,35,100,5.55,RU,2022-04-30 04:04:44
81,Bluff,-46.6,168.3333,65.8,73,99,8.08,NZ,2022-04-30 04:04:44
82,Hobart,-42.8794,147.3294,60.66,53,40,14.97,AU,2022-04-30 04:00:03
83,Zhezkazgan,47.8043,67.7144,62.58,39,0,6.71,KZ,2022-04-30 04:04:45
84,Beringovskiy,63.05,179.3167,32.2,96,99,15.32,RU,2022-04-30 04:02:47
85,Aksarka,66.5606,67.7975,26.1,90,38,15.5,RU,2022-04-30 04:04:45
86,Cleveland,41.4995,-81.6954,48.65,31,0,9.22,US,2022-04-30 04:04:46
87,Airai,-8.9266,125.4092,77.65,45,79,3.74,TL,2022-04-30 04:04:46
88,Salinopolis,-0.6136,-47.3561,78.26,89,99,8.88,BR,2022-04-30 04:04:46
89,Souillac,-20.5167,57.5167,75.96,71,0,9.82,MU,2022-04-30 04:04:47
90,Vardo,70.3705,31.1107,29.01,64,97,24.47,NO,2022-04-30 04:04:47
91,Tres De Maio,-27.7733,-54.24,57.15,75,44,8.93,BR,2022-04-30 04:04:47
92,New Norfolk,-42.7826,147.0587,60.71,61,51,4.0,AU,2022-04-30 04:04:48
93,Chuka,-0.3332,37.6459,59.13,89,100,4.7,KE,2022-04-30 04:05:03
94,Nara,34.6851,135.8049,63.97,37,5,3.87,JP,2022-04-30 04:02:06
95,Bud,39.447,-86.1758,62.55,67,100,11.83,US,2022-04-30 04:05:04
96,Beni,0.5,29.4667,59.92,99,100,2.62,CD,2022-04-30 04:05:04
97,Russellville,35.2784,-93.1338,74.14,60,0,4.61,US,2022-04-30 04:05:04
98,Stawell,-37.05,142.7667,62.06,41,79,15.12,AU,2022-04-30 04:05:05
99,Jamestown,42.097,-79.2353,44.24,50,0,1.01,US,2022-04-30 04:05:05
100,Yaring,6.8662,101.3689,85.28,68,83,1.43,TH,2022-04-30 04:05:06
101,Pathein,16.7833,94.7333,96.73,39,78,7.38,MM,2022-04-30 04:05:06
102,Marsa Matruh,31.3525,27.2453,63.55,88,1,14.05,EG,2022-04-30 04:05:06
103,Barrow,71.2906,-156.7887,17.62,79,100,14.97,US,2022-04-30 04:04:35
104,Basco,20.4487,121.9702,82.99,70,89,9.35,PH,2022-04-30 04:05:07
105,Zheleznodorozhnyy,55.7503,38.0042,37.22,77,81,9.44,RU,2022-04-30 04:05:07
106,Katsuura,35.1333,140.3,60.82,61,24,19.01,JP,2022-04-30 04:05:08
107,Nome,64.5011,-165.4064,42.17,71,95,11.52,US,2022-04-30 04:01:18
108,Mataura,-46.1927,168.8643,65.48,70,89,2.77,NZ,2022-04-30 04:05:08
109,Caohe,30.2297,115.4335,60.28,81,100,4.12,CN,2022-04-30 04:05:09
110,Bharuch,21.7,72.9667,95.59,27,0,8.46,IN,2022-04-30 04:00:50
111,Yellowknife,62.456,-114.3525,32.56,63,11,8.01,CA,2022-04-30 04:03:44
112,Ixtapa,20.7,-105.2,69.24,56,0,3.02,MX,2022-04-30 04:02:17
113,Acarau,-2.8856,-40.12,78.19,83,100,7.7,BR,2022-04-30 04:05:09
